#alpha;r;gamma;n;K
8.8000000000000000E-01;3.5999999999999999E-01;-1.1520968975386920E+00;1.3599999999999999E+00;6.6672274163118766E+02
8.8500000000000001E-01;3.4499999999999997E-01;-1.1452059104424308E+00;1.3450000000000000E+00;7.5299147559295216E+02
8.9000000000000001E-01;3.2999999999999996E-01;-1.1383659642253132E+00;1.3300000000000001E+00;8.5527119776507402E+02
8.9500000000000002E-01;3.1499999999999995E-01;-1.1315766455178153E+00;1.3149999999999999E+00;9.7749845201841356E+02
9.0000000000000002E-01;2.9999999999999993E-01;-1.1248375444727636E+00;1.2999999999999998E+00;1.1248375444727644E+03
9.0500000000000003E-01;2.8499999999999992E-01;-1.1181482547346588E+00;1.2849999999999999E+00;1.3041530890621486E+03
9.1000000000000003E-01;2.6999999999999991E-01;-1.1115083734093005E+00;1.2700000000000000E+00;1.5247028441828554E+03
9.1500000000000004E-01;2.5499999999999989E-01;-1.1049175010337475E+00;1.2549999999999999E+00;1.7991736226887831E+03
9.2000000000000004E-01;2.3999999999999988E-01;-1.0983752415466199E+00;1.2399999999999998E+00;2.1452641436457452E+03
9.2500000000000004E-01;2.2499999999999987E-01;-1.0918812022587305E+00;1.2249999999999999E+00;2.5881628497984771E+03
9.3000000000000005E-01;2.0999999999999985E-01;-1.0854349938240933E+00;1.2100000000000000E+00;3.1645335096912404E+03
9.3500000000000005E-01;1.9499999999999984E-01;-1.0790362302112206E+00;1.1949999999999998E+00;3.9291260089621242E+03
9.4000000000000006E-01;1.7999999999999983E-01;-1.0726845286748599E+00;1.1799999999999997E+00;4.9661320771984401E+03
9.4500000000000006E-01;1.6499999999999981E-01;-1.0663795097280862E+00;1.1649999999999998E+00;6.4094936722950551E+03
9.5000000000000007E-01;1.4999999999999980E-01;-1.0601207971147162E+00;1.1499999999999999E+00;8.4809663769177641E+03
9.5500000000000007E-01;1.3499999999999979E-01;-1.0539080177822602E+00;1.1349999999999998E+00;1.1565520085402088E+04
9.5999999999999996E-01;1.2000000000000011E-01;-1.0477408018551431E+00;1.1200000000000001E+00;1.6370950028986566E+04
9.6499999999999997E-01;1.0500000000000009E-01;-1.0416187826084822E+00;1.1050000000000000E+00;2.4294315629352292E+04
9.6999999999999997E-01;9.0000000000000080E-02;-1.0355415964422761E+00;1.0900000000000001E+00;3.8353392460824936E+04
9.7499999999999998E-01;7.5000000000000067E-02;-1.0295088828560572E+00;1.0750000000000002E+00;6.5888568502787486E+04
9.7999999999999998E-01;6.0000000000000053E-02;-1.0235202844241345E+00;1.0600000000000001E+00;1.2794003555301647E+05
9.8499999999999999E-01;4.5000000000000040E-02;-1.0175754467713007E+00;1.0449999999999999E+00;3.0150383608038456E+05
9.8999999999999999E-01;3.0000000000000027E-02;-1.0116740185491699E+00;1.0300000000000000E+00;1.0116740185491672E+06
9.9500000000000000E-01;1.5000000000000013E-02;-1.0058156514131429E+00;1.0150000000000001E+00;8.0465252113051219E+06
1.0000000000000000E+00;0.0000000000000000E+00;-1.0000000000000000E+00;1.0000000000000000E+00;Inf
1.0050000000000001E+00;-1.5000000000000346E-02;-9.9422672190626549E-01;9.8499999999999965E-01;-7.9538137752495743E+06
1.0100000000000000E+00;-3.0000000000000027E-02;-9.8849547766732471E-01;9.6999999999999997E-01;-9.8849547766732203E+05
1.0150000000000001E+00;-4.5000000000000373E-02;-9.8280593073739175E-01;9.5499999999999963E-01;-2.9120175725551625E+05
1.0200000000000000E+00;-6.0000000000000053E-02;-9.7715774747039263E-01;9.3999999999999995E-01;-1.2214471843379876E+05
1.0249999999999999E+00;-7.4999999999999734E-02;-9.7155059710186453E-01;9.2500000000000027E-01;-6.2179238214519988E+04
1.0300000000000000E+00;-9.0000000000000080E-02;-9.6598415173192997E-01;9.0999999999999992E-01;-3.5777190804886195E+04
1.0349999999999999E+00;-1.0499999999999976E-01;-9.6045808630947827E-01;8.9500000000000024E-01;-2.2401354782728511E+04
1.0400000000000000E+00;-1.2000000000000011E-01;-9.5497207861767008E-01;8.7999999999999989E-01;-1.4921438728401055E+04
1.0449999999999999E+00;-1.3499999999999979E-01;-9.4952580926085561E-01;8.6500000000000021E-01;-1.0420036315619864E+04
1.0500000000000000E+00;-1.5000000000000013E-01;-9.4411896165310516E-01;8.4999999999999987E-01;-7.5529516932248216E+03
1.0549999999999999E+00;-1.6499999999999981E-01;-9.3875122200847949E-01;8.3500000000000019E-01;-5.6423814996753281E+03
1.0600000000000001E+00;-1.8000000000000016E-01;-9.3342227933322852E-01;8.1999999999999984E-01;-4.3213994413575274E+03
1.0649999999999999E+00;-1.9499999999999984E-01;-9.2813182542010930E-01;8.0500000000000016E-01;-3.3796334107241205E+03
1.0700000000000001E+00;-2.1000000000000019E-01;-9.2287955484507900E-01;7.8999999999999981E-01;-2.6906109470701940E+03
1.0750000000000000E+00;-2.2499999999999987E-01;-9.1766516496657646E-01;7.7500000000000013E-01;-2.1752063169578146E+03
1.0800000000000001E+00;-2.4000000000000021E-01;-9.1248835592766886E-01;7.5999999999999979E-01;-1.7822038201712235E+03
1.0850000000000000E+00;-2.5499999999999989E-01;-9.0734883066144656E-01;7.4500000000000011E-01;-1.4774660381216327E+03
1.0900000000000001E+00;-2.7000000000000024E-01;-9.0224629489987740E-01;7.2999999999999976E-01;-1.2376492385457821E+03
1.0950000000000000E+00;-2.8499999999999992E-01;-8.9718045718665440E-01;7.1500000000000008E-01;-1.0464271260377957E+03
1.1000000000000001E+00;-3.0000000000000027E-01;-8.9215102889434905E-01;6.9999999999999973E-01;-8.9215102889434672E+02
1.1050000000000000E+00;-3.1499999999999995E-01;-8.8715772424640105E-01;6.8500000000000005E-01;-7.6636019803166096E+02
1.1100000000000001E+00;-3.3000000000000029E-01;-8.8220026034447496E-01;6.6999999999999971E-01;-6.6281011295602752E+02
1.1150000000000000E+00;-3.4499999999999997E-01;-8.7727835720174885E-01;6.5500000000000003E-01;-5.7682476022141793E+02
1.1200000000000001E+00;-3.6000000000000032E-01;-8.7239173778279300E-01;6.3999999999999968E-01;-5.0485632973541124E+02
1.1250000000000000E+00;-3.7500000000000000E-01;-8.6754012805078062E-01;6.2500000000000000E-01;-4.4418054556199968E+02
1.1300000000000001E+00;-3.9000000000000035E-01;-8.6272325702283814E-01;6.0999999999999965E-01;-3.9268241102541458E+02
1.1350000000000000E+00;-4.0500000000000003E-01;-8.5794085683438470E-01;5.9499999999999997E-01;-3.4870328987832528E+02
1.1400000000000001E+00;-4.2000000000000037E-01;-8.5319266281352601E-01;5.7999999999999963E-01;-3.1093027070463694E+02
1.1450000000000000E+00;-4.3500000000000005E-01;-8.4847841356654807E-01;5.6499999999999995E-01;-2.7831511372062744E+02
1.1500000000000001E+00;-4.5000000000000040E-01;-8.4379785107575145E-01;5.4999999999999960E-01;-2.5001417809651829E+02
1.1550000000000000E+00;-4.6500000000000008E-01;-8.3915072081100439E-01;5.3499999999999992E-01;-2.2534341802853316E+02
1.1599999999999999E+00;-4.7999999999999976E-01;-8.3453677185646968E-01;5.2000000000000024E-01;-2.0374432906652123E+02
1.1650000000000000E+00;-4.9500000000000011E-01;-8.2995575705421698E-01;5.0499999999999989E-01;-1.8475793907209092E+02
1.1699999999999999E+00;-5.0999999999999979E-01;-8.2540743316657517E-01;4.9000000000000021E-01;-1.6800476962478652E+02
1.1750000000000000E+00;-5.2500000000000013E-01;-8.2089156105919370E-01;4.7499999999999987E-01;-1.5316927086818765E+02
1.1799999999999999E+00;-5.3999999999999981E-01;-8.1640790590720846E-01;4.6000000000000019E-01;-1.3998763818710719E+02
1.1850000000000001E+00;-5.5500000000000016E-01;-8.1195623742686751E-01;4.4499999999999984E-01;-1.2823820700481579E+02
1.1899999999999999E+00;-5.6999999999999984E-01;-8.0753633013555837E-01;4.3000000000000016E-01;-1.1773382856619901E+02
1.1950000000000001E+00;-5.8500000000000019E-01;-8.0314796364320251E-01;4.1499999999999981E-01;-1.0831577924687896E+02
1.2000000000000000E+00;-5.9999999999999987E-01;-7.9879092297844678E-01;4.0000000000000013E-01;-9.9848865372305923E+01
1.2050000000000001E+00;-6.1500000000000021E-01;-7.9446499895346578E-01;3.8499999999999979E-01;-9.2217466253068295E+01
1.2100000000000000E+00;-6.2999999999999989E-01;-7.9016998857147080E-01;3.7000000000000011E-01;-8.5322318169902957E+01
1.2150000000000001E+00;-6.4500000000000024E-01;-7.8590569548163880E-01;3.5499999999999976E-01;-7.9077887026967474E+01
1.2200000000000000E+00;-6.5999999999999992E-01;-7.8167193048643901E-01;3.4000000000000008E-01;-7.3410211352971388E+01
1.2250000000000001E+00;-6.7500000000000027E-01;-7.7746851210710222E-01;3.2499999999999973E-01;-6.8255123147948538E+01
1.2300000000000000E+00;-6.8999999999999995E-01;-7.7329526721340391E-01;3.1000000000000005E-01;-6.3556773831955624E+01
1.2350000000000001E+00;-7.0500000000000029E-01;-7.6915203172469193E-01;2.9499999999999971E-01;-5.9266407768967646E+01
1.2400000000000000E+00;-7.1999999999999997E-01;-7.6503865138972338E-01;2.8000000000000003E-01;-5.5341337629464952E+01
1.2450000000000001E+00;-7.3500000000000032E-01;-7.6095498265376016E-01;2.6499999999999968E-01;-5.1744085043052408E+01
1.2500000000000000E+00;-7.5000000000000000E-01;-7.5690089362220503E-01;2.5000000000000000E-01;-4.8441657191821122E+01
1.2550000000000001E+00;-7.6500000000000035E-01;-7.5287626513100925E-01;2.3499999999999965E-01;-4.5404935666131919E+01
1.2600000000000000E+00;-7.8000000000000003E-01;-7.4888099193522606E-01;2.1999999999999997E-01;-4.2608158394129838E+01
1.2650000000000001E+00;-7.9500000000000037E-01;-7.4491498402816170E-01;2.0499999999999963E-01;-4.0028479027823543E+01
1.2700000000000000E+00;-8.1000000000000005E-01;-7.4097816810495865E-01;1.8999999999999995E-01;-3.7645591022961874E+01
1.2750000000000001E+00;-8.2500000000000040E-01;-7.3707048918584406E-01;1.7499999999999960E-01;-3.5441405941317768E+01
1.2800000000000000E+00;-8.4000000000000008E-01;-7.3319191241583226E-01;1.5999999999999992E-01;-3.3399777351304301E+01
1.2849999999999999E+00;-8.5499999999999976E-01;-7.2934242505940949E-01;1.4500000000000024E-01;-3.1506263198259546E+01
1.2900000000000000E+00;-8.7000000000000011E-01;-7.2552203871069998E-01;1.2999999999999989E-01;-2.9747920731095974E+01
1.2949999999999999E+00;-8.8499999999999979E-01;-7.2173079174160260E-01;1.1500000000000021E-01;-2.8113129063501258E+01
1.3000000000000000E+00;-9.0000000000000013E-01;-7.1796875201280941E-01;9.9999999999999867E-02;-2.6591435259733668E+01
1.3049999999999999E+00;-9.1499999999999981E-01;-7.1423601987509278E-01;8.5000000000000187E-02;-2.5173420502159853E+01
1.3100000000000001E+00;-9.3000000000000016E-01;-7.1053273149110940E-01;6.9999999999999840E-02;-2.3850583447722769E+01
1.3149999999999999E+00;-9.4499999999999984E-01;-7.0685906251098773E-01;5.5000000000000160E-02;-2.2615238335544539E+01
1.3200000000000001E+00;-9.6000000000000019E-01;-7.0321523213841752E-01;3.9999999999999813E-02;-2.1460425785474154E+01
1.3250000000000000E+00;-9.7499999999999987E-01;-6.9960150762767992E-01;2.5000000000000133E-02;-2.0379834541725778E+01
1.3300000000000001E+00;-9.9000000000000021E-01;-6.9601820925614100E-01;9.9999999999997868E-03;-1.9367732678190738E+01
1.3350000000000000E+00;-1.0049999999999999E+00;-6.9246571582128824E-01;-4.9999999999998934E-03;-1.8418907001759884E+01
1.3400000000000001E+00;-1.0200000000000002E+00;-6.8894447071630194E-01;-2.0000000000000240E-02;-1.7528609574503903E+01
1.3450000000000000E+00;-1.0349999999999999E+00;-6.8545498864369714E-01;-3.4999999999999920E-02;-1.6692510430915373E+01
1.3500000000000001E+00;-1.0500000000000003E+00;-6.8199786303247012E-01;-5.0000000000000266E-02;-1.5906655697550313E+01
1.3550000000000000E+00;-1.0649999999999999E+00;-6.7857377423090659E-01;-6.4999999999999947E-02;-1.5167430433396163E+01
1.3600000000000001E+00;-1.0800000000000003E+00;-6.7518349855431414E-01;-8.0000000000000293E-02;-1.4471525603444649E+01
1.3650000000000000E+00;-1.0950000000000000E+00;-6.7182791827509902E-01;-9.4999999999999973E-02;-1.3815908678028963E+01
1.3700000000000001E+00;-1.1100000000000003E+00;-6.6850803265114778E-01;-1.1000000000000032E-01;-1.3197797418734273E+01
1.3750000000000000E+00;-1.1250000000000000E+00;-6.6522497009830128E-01;-1.2500000000000000E-01;-1.2614636470012231E+01
1.3800000000000001E+00;-1.1400000000000003E+00;-6.6198000162311910E-01;-1.4000000000000035E-01;-1.2064076425556175E+01
1.3850000000000000E+00;-1.1550000000000000E+00;-6.5877455564384946E-01;-1.5500000000000003E-01;-1.1543955081343070E+01
1.3900000000000001E+00;-1.1700000000000004E+00;-6.5561023434020360E-01;-1.7000000000000037E-01;-1.1052280624086766E+01
1.3950000000000000E+00;-1.1850000000000001E+00;-6.5248883168654459E-01;-1.8500000000000005E-01;-1.0587216535593241E+01
1.4000000000000001E+00;-1.2000000000000004E+00;-6.4941235333848135E-01;-2.0000000000000040E-01;-1.0147068020913759E+01
1.4050000000000000E+00;-1.2150000000000001E+00;-6.4638303855973778E-01;-2.1500000000000008E-01;-9.7302697919014562E+00
1.4099999999999999E+00;-1.2299999999999998E+00;-6.4340338439465372E-01;-2.2999999999999976E-01;-9.3353750583226329E+00
1.4150000000000000E+00;-1.2450000000000001E+00;-6.4047617231198428E-01;-2.4500000000000011E-01;-8.9610455965173621E+00
1.4199999999999999E+00;-1.2599999999999998E+00;-6.3760449756808879E-01;-2.5999999999999979E-01;-8.6060427811263516E+00
1.4250000000000000E+00;-1.2750000000000001E+00;-6.3479180156187232E-01;-2.7500000000000013E-01;-8.2692194789252635E+00
1.4299999999999999E+00;-1.2899999999999998E+00;-6.3204190748086786E-01;-2.8999999999999981E-01;-7.9495127156208651E+00
1.4350000000000001E+00;-1.3050000000000002E+00;-6.2935905956723814E-01;-3.0500000000000016E-01;-7.6459370367908770E+00
1.4399999999999999E+00;-1.3199999999999998E+00;-6.2674796636471397E-01;-3.1999999999999984E-01;-7.3575784931995933E+00
1.4450000000000001E+00;-1.3350000000000002E+00;-6.2421384834307703E-01;-3.3500000000000019E-01;-7.0835891886659050E+00
1.4500000000000000E+00;-1.3499999999999999E+00;-6.2176249033546727E-01;-3.4999999999999987E-01;-6.8231823356429899E+00
1.4550000000000001E+00;-1.3650000000000002E+00;-6.1940029926652695E-01;-3.6500000000000021E-01;-6.5756277698215744E+00
1.4600000000000000E+00;-1.3799999999999999E+00;-6.1713436769608743E-01;-3.7999999999999989E-01;-6.3402478804973246E+00
1.4650000000000001E+00;-1.3950000000000002E+00;-6.1497254375426558E-01;-3.9500000000000024E-01;-6.1164139182404353E+00
1.4700000000000000E+00;-1.4099999999999999E+00;-6.1292350809993601E-01;-4.0999999999999992E-01;-5.9035426456559339E+00
1.4750000000000001E+00;-1.4250000000000003E+00;-6.1099685859626174E-01;-4.2500000000000027E-01;-5.7010933007961411E+00
1.4800000000000000E+00;-1.4399999999999999E+00;-6.0920320346402923E-01;-4.3999999999999995E-01;-5.5085648461374177E+00
1.4850000000000001E+00;-1.4550000000000003E+00;-6.0755426374786392E-01;-4.5500000000000029E-01;-5.3254934790257948E+00
1.4900000000000000E+00;-1.4700000000000000E+00;-6.0606298601084763E-01;-4.6999999999999997E-01;-5.1514503821608999E+00
1.4950000000000001E+00;-1.4850000000000003E+00;-6.0474366626217169E-01;-4.8500000000000032E-01;-4.9860396950809704E+00
1.5000000000000000E+00;-1.5000000000000000E+00;-6.0361208621926066E-01;-5.0000000000000000E-01;-4.8288966897540853E+00
1.5050000000000001E+00;-1.5150000000000003E+00;-6.0268566311245708E-01;-5.1500000000000035E-01;-4.6796861353135180E+00
1.5100000000000000E+00;-1.5300000000000000E+00;-6.0198361435663161E-01;-5.3000000000000003E-01;-4.5381008387168702E+00
1.5150000000000001E+00;-1.5450000000000004E+00;-6.0152713854191420E-01;-5.4500000000000037E-01;-4.4038603496896389E+00
1.5200000000000000E+00;-1.5600000000000001E+00;-6.0133961433523642E-01;-5.6000000000000005E-01;-4.2767098197487794E+00
1.5250000000000001E+00;-1.5750000000000004E+00;-6.0144681903756669E-01;-5.7500000000000040E-01;-4.1564190064144517E+00
1.5300000000000000E+00;-1.5900000000000001E+00;-6.0187716870895036E-01;-5.9000000000000008E-01;-4.0427814149193653E+00
1.5350000000000001E+00;-1.6050000000000004E+00;-6.0266198195704490E-01;-6.0500000000000043E-01;-3.9356135708349465E+00
1.5400000000000000E+00;-1.6200000000000001E+00;-6.0383576968510910E-01;-6.2000000000000011E-01;-3.8347544180581532E+00
1.5449999999999999E+00;-1.6349999999999998E+00;-6.0543655331546420E-01;-6.3499999999999979E-01;-3.7400648375624912E+00
1.5500000000000000E+00;-1.6500000000000001E+00;-6.0750621424427287E-01;-6.5000000000000013E-01;-3.6514272832112558E+00
1.5549999999999999E+00;-1.6649999999999998E+00;-6.1009087754666125E-01;-6.6499999999999981E-01;-3.5687455317796184E+00
1.5600000000000001E+00;-1.6800000000000002E+00;-6.1324133323890495E-01;-6.8000000000000016E-01;-3.4919445451377138E+00
