#alpha;r;gamma;n;K
2.6500000000000001E-01;2.2050000000000001E+00;-2.5652077299191096E+00;3.2050000000000001E+00;6.4604165747746443E+00
2.7000000000000002E-01;2.1899999999999999E+00;-2.5473698203596253E+00;3.1899999999999999E+00;6.5482223665280070E+00
2.7500000000000002E-01;2.1749999999999998E+00;-2.5296740908500381E+00;3.1749999999999998E+00;6.6382033627620007E+00
2.8000000000000003E-01;2.1600000000000001E+00;-2.5121193368916401E+00;3.1600000000000001E+00;6.7304294648374281E+00
2.8500000000000003E-01;2.1450000000000000E+00;-2.4947043645666054E+00;3.1450000000000000E+00;6.8249733745021635E+00
2.8999999999999998E-01;2.1299999999999999E+00;-2.4774279904427292E+00;3.1299999999999999E+00;6.9219107276466216E+00
2.9499999999999998E-01;2.1150000000000002E+00;-2.4602890414790490E+00;3.1150000000000002E+00;7.0213202354835342E+00
2.9999999999999999E-01;2.0999999999999996E+00;-2.4432863549323129E+00;3.0999999999999996E+00;7.1232838336219055E+00
3.0499999999999999E-01;2.0850000000000000E+00;-2.4264187782643649E+00;3.0850000000000000E+00;7.2278868395386366E+00
3.1000000000000000E-01;2.0699999999999998E+00;-2.4096851690502930E+00;3.0699999999999998E+00;7.3352181189869778E+00
3.1500000000000000E-01;2.0550000000000002E+00;-2.3930843948874623E+00;3.0550000000000002E+00;7.4453702619203561E+00
3.2000000000000001E-01;2.0400000000000000E+00;-2.3766153333054127E+00;3.0400000000000000E+00;7.5584397685522253E+00
3.2500000000000001E-01;2.0250000000000004E+00;-2.3602768716765117E+00;3.0250000000000004E+00;7.6745272462173819E+00
3.3000000000000002E-01;2.0099999999999998E+00;-2.3440679071274846E+00;3.0099999999999998E+00;7.7937376177504731E+00
3.3500000000000002E-01;1.9950000000000001E+00;-2.3279873464517342E+00;2.9950000000000001E+00;7.9161803421496257E+00
3.4000000000000002E-01;1.9799999999999998E+00;-2.3120341060224652E+00;2.9799999999999995E+00;8.0419696483515111E+00
3.4500000000000003E-01;1.9650000000000001E+00;-2.2962071117065537E+00;2.9649999999999999E+00;8.1712247830058615E+00
3.5000000000000003E-01;1.9499999999999997E+00;-2.2805052987793069E+00;2.9499999999999997E+00;8.3040702732064009E+00
3.5499999999999998E-01;1.9350000000000001E+00;-2.2649276118399326E+00;2.9350000000000001E+00;8.4406362052069301E+00
3.5999999999999999E-01;1.9199999999999999E+00;-2.2494730047277893E+00;2.9199999999999999E+00;8.5810585202323502E+00
3.6499999999999999E-01;1.9050000000000000E+00;-2.2341404404393908E+00;2.9050000000000002E+00;8.7254793285802137E+00
3.7000000000000000E-01;1.8900000000000001E+00;-2.2189288910462128E+00;2.8900000000000001E+00;8.8740472433031101E+00
3.7500000000000000E-01;1.8750000000000000E+00;-2.2038373376132538E+00;2.8750000000000000E+00;9.0269177348638880E+00
3.8000000000000000E-01;1.8599999999999999E+00;-2.1888647701182515E+00;2.8599999999999999E+00;9.1842535082669752E+00
3.8500000000000001E-01;1.8450000000000000E+00;-2.1740101873717252E+00;2.8449999999999998E+00;9.3462249042912813E+00
3.9000000000000001E-01;1.8300000000000001E+00;-2.1592725969377495E+00;2.8300000000000001E+00;9.5130103265812984E+00
3.9500000000000002E-01;1.8149999999999999E+00;-2.1446510150554068E+00;2.8149999999999999E+00;9.6847966964971874E+00
4.0000000000000002E-01;1.7999999999999998E+00;-2.1301444665609832E+00;2.7999999999999998E+00;9.8617799377823321E+00
4.0500000000000003E-01;1.7849999999999999E+00;-2.1157519848108310E+00;2.7850000000000001E+00;1.0044165493277875E+01
4.1000000000000003E-01;1.7700000000000000E+00;-2.1014726116050455E+00;2.7700000000000000E+00;1.0232168876102453E+01
4.1500000000000004E-01;1.7549999999999999E+00;-2.0873053971117379E+00;2.7549999999999999E+00;1.0426016257918677E+01
4.1999999999999998E-01;1.7400000000000002E+00;-2.0732493997919725E+00;2.7400000000000002E+00;1.0625945097133810E+01
4.2499999999999999E-01;1.7249999999999999E+00;-2.0593036863255718E+00;2.7249999999999996E+00;1.0832204810128760E+01
4.2999999999999999E-01;1.7100000000000002E+00;-2.0454673315373335E+00;2.7100000000000000E+00;1.1045057488875567E+01
4.3500000000000000E-01;1.6949999999999998E+00;-2.0317394183241921E+00;2.6949999999999998E+00;1.1264778668604579E+01
4.4000000000000000E-01;1.6800000000000002E+00;-2.0181190375828257E+00;2.6800000000000002E+00;1.1491658149501328E+01
4.4500000000000001E-01;1.6649999999999998E+00;-2.0046052881380381E+00;2.6650000000000000E+00;1.1726000876774735E+01
4.5000000000000001E-01;1.6500000000000001E+00;-1.9911972766717994E+00;2.6500000000000004E+00;1.1968127883827490E+01
4.5500000000000002E-01;1.6349999999999998E+00;-1.9778941176528611E+00;2.6349999999999998E+00;1.2218377303691959E+01
4.6000000000000002E-01;1.6200000000000001E+00;-1.9646949332671020E+00;2.6200000000000001E+00;1.2477105454371168E+01
4.6500000000000002E-01;1.6049999999999998E+00;-1.9515988533484234E+00;2.6049999999999995E+00;1.2744688004247520E+01
4.7000000000000003E-01;1.5900000000000001E+00;-1.9386050153103478E+00;2.5899999999999999E+00;1.3021521224301591E+01
4.7500000000000003E-01;1.5749999999999997E+00;-1.9257125640781894E+00;2.5749999999999997E+00;1.3308023334521561E+01
4.7999999999999998E-01;1.5600000000000001E+00;-1.9129206520218724E+00;2.5600000000000001E+00;1.3604635952590694E+01
4.8499999999999999E-01;1.5449999999999999E+00;-1.9002284388893675E+00;2.5449999999999999E+00;1.3911825653722239E+01
4.8999999999999999E-01;1.5300000000000000E+00;-1.8876350917406988E+00;2.5300000000000002E+00;1.4230085651376157E+01
4.9500000000000000E-01;1.5150000000000001E+00;-1.8751397848825768E+00;2.5150000000000001E+00;1.4559937609553531E+01
5.0000000000000000E-01;1.5000000000000000E+00;-1.8627416998036348E+00;2.5000000000000000E+00;1.4901933598429078E+01
5.0500000000000000E-01;1.4849999999999999E+00;-1.8504400251102602E+00;2.4849999999999999E+00;1.5256658206266401E+01
5.1000000000000001E-01;1.4700000000000000E+00;-1.8382339564629591E+00;2.4699999999999998E+00;1.5624730821876591E+01
5.1500000000000001E-01;1.4550000000000001E+00;-1.8261226965133617E+00;2.4550000000000001E+00;1.6006808103347964E+01
5.2000000000000002E-01;1.4399999999999999E+00;-1.8141054548417808E+00;2.4399999999999999E+00;1.6403586650406730E+01
5.2500000000000002E-01;1.4249999999999998E+00;-1.8021814478953320E+00;2.4249999999999998E+00;1.6815805899591961E+01
5.3000000000000003E-01;1.4099999999999999E+00;-1.7903498989266131E+00;2.4100000000000001E+00;1.7244251263463909E+01
5.3500000000000003E-01;1.3950000000000000E+00;-1.7786100379329519E+00;2.3950000000000000E+00;1.7689757537341773E+01
5.4000000000000004E-01;1.3799999999999999E+00;-1.7669611015962099E+00;2.3799999999999999E+00;1.8153212599615870E+01
5.4500000000000004E-01;1.3649999999999998E+00;-1.7554023332231490E+00;2.3649999999999998E+00;1.8635561434536619E+01
5.5000000000000004E-01;1.3499999999999999E+00;-1.7439329826862724E+00;2.3499999999999996E+00;1.9137810509588729E+01
5.5500000000000005E-01;1.3350000000000000E+00;-1.7325523063653048E+00;2.3350000000000000E+00;1.9661032543164939E+01
5.6000000000000005E-01;1.3199999999999998E+00;-1.7212595670891229E+00;2.3199999999999998E+00;2.0206371702304697E+01
